"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
50 0.5 0.25 3 1 0.45685716522671 0.0431428347732896 0.181377681734301 FALSE ""
50 0.5 1 2 2 0.542756835418366 0.0427568354183657 0.172420639085958 FALSE ""
100 0.5 1 2 3 0.465760832449379 0.0342391675506213 0.180399286360581 FALSE ""
100 0.5 1 4 4 0.444883034158884 0.0551169658411159 0.192569821430933 FALSE ""
250 0.5 0.5 2 5 0.4555404679112 0.0444595320888003 0.163828281039058 FALSE ""
250 0.5 1 5 6 0.52738658853953 0.0273865885395302 0.22942950251714 FALSE ""
250 0.5 0.25 3 7 0.461198044391366 0.0388019556086338 0.217880323746738 FALSE ""
50 0 1 5 8 -0.133627149953518 0.133627149953518 0.0256960871063688 FALSE ""
100 0.5 0.25 5 9 0.608331975624935 0.108331975624935 0.288435389436152 FALSE ""
100 0 0.25 3 10 -0.0998282338746678 0.0998282338746678 0.0104802607115703 FALSE ""
100 0 0.25 2 11 0.114816616176857 0.114816616176857 0.0136347198856798 FALSE ""
100 1 1 2 12 0.976889743606457 0.0231102563935428 0.509535831512032 FALSE ""
100 0.5 0.5 3 13 0.564589524683824 0.0645895246838242 0.306094111388801 FALSE ""
250 1 1 4 14 1.00682106158434 0.00682106158433715 0.51093985936214 FALSE ""
50 1 0.25 2 15 0.880300138592323 0.119699861407677 0.381353518045829 FALSE ""
250 0.5 0.25 5 16 0.486291508136243 0.0137084918637575 0.161813215828153 FALSE ""
250 0 0.5 1 17 -0.0185700611489553 0.0185700611489553 0.000352814409183074 FALSE ""
250 1 1 2 18 1.17770445502576 0.177704455025761 0.578687801090911 FALSE ""
250 0 0.5 3 19 -0.000401550550280417 0.000401550550280417 1.52596088758315e-07 FALSE ""
250 0.5 1 1 20 0.530710600734021 0.030710600734021 0.22318477513935 FALSE ""
250 1 0.25 1 21 0.934903038849477 0.0650969611505234 0.428692027894658 FALSE ""
100 0 1 1 22 -0.0143383364535044 0.0143383364535044 0.0002083190075752 FALSE ""
100 1 1 3 23 1.082316596667 0.0823165966669963 0.521700695777145 FALSE ""
250 1 0.5 3 24 1.01866123856148 0.0186612385614835 0.523104602907343 FALSE ""
50 0.5 1 3 25 0.485359289936984 0.0146407100630163 0.218325312336362 FALSE ""
100 0.5 0.5 4 26 0.506460500041037 0.00646050004103704 0.165454907230626 FALSE ""
250 1 0.5 2 27 1.07835124158745 0.0783512415874494 0.636519377966139 FALSE ""
50 0.5 1 1 28 0.568595498661677 0.0685954986616766 0.261981128179795 FALSE ""
50 1 0.5 3 29 0.979265333023078 0.0207346669769218 0.528435773124304 FALSE ""
250 0 1 4 30 -0.084389937089776 0.084389937089776 0.00931020815853 FALSE ""
100 0.5 1 5 31 0.457554359563333 0.0424456404366675 0.228942419570249 FALSE ""
50 1 0.5 2 32 0.893026865173691 0.106973134826309 0.335655181009595 FALSE ""
100 0 0.25 1 33 0.177646966199705 0.177646966199705 0.0302917285380172 FALSE ""
250 0.5 0.5 5 34 0.414971988638498 0.085028011361502 0.139907829424957 FALSE ""
100 0 1 5 35 -0.0226869171332194 0.0226869171332194 0.000630824077859589 FALSE ""
100 0.5 1 3 36 0.585700631901551 0.0857006319015506 0.279777315134408 FALSE ""
250 0.5 0.5 3 37 0.633205817385068 0.133205817385068 0.291136590561135 FALSE ""
250 0.5 0.25 1 38 0.552376368808295 0.052376368808295 0.236106272382019 FALSE ""
100 0 0.25 5 39 0.00936240455957903 0.00936240455957903 9.33673245332875e-05 FALSE ""
100 0.5 0.25 4 40 0.412210326481473 0.0877896735185271 0.161520480297189 FALSE ""
50 1 0.25 1 41 1.03682071215934 0.036820712159336 0.43081996257995 FALSE ""
250 0.5 1 3 42 0.426063108576848 0.0739368914231523 0.133672906599168 FALSE ""
