"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
100 1 0.5 1 1 0.988874909898679 0.0111250901013207 0.50095422814402 FALSE ""
50 0 1 5 2 -0.0445620700664926 0.0445620700664926 0.00162358294463804 FALSE ""
250 0.5 1 5 3 0.484395539103051 0.0156044608969487 0.221901455831603 FALSE ""
100 0 0.5 4 4 -0.0322397451480254 0.0322397451480254 0.00127387764597118 FALSE ""
100 0.5 0.25 3 5 0.544176304570397 0.0441763045703969 0.267736098716779 FALSE ""
250 0 0.25 3 6 -0.10048651509635 0.10048651509635 0.0102652896201629 FALSE ""
100 1 0.25 4 7 0.994367226261561 0.0056327737384394 0.541193180150209 FALSE ""
250 1 0.5 1 8 1.03843268940208 0.038432689402075 0.52322074669805 FALSE ""
100 1 0.5 3 9 1.06723769340789 0.067237693407892 0.541219267915755 FALSE ""
100 0.5 1 4 10 0.666293362371711 0.166293362371711 0.297665391680122 FALSE ""
50 0.5 0.25 4 11 0.640681949057911 0.140681949057911 0.135372778654502 FALSE ""
50 1 0.5 5 12 0.915841550087286 0.0841584499127137 0.443532666053509 FALSE ""
250 1 0.25 5 13 0.950209699467942 0.0497903005320584 0.457327164958264 FALSE ""
250 0.5 0.25 2 14 0.61846960523624 0.11846960523624 0.265895670625033 FALSE ""
250 0 1 1 15 0.0586970946891792 0.0586970946891792 0.00398346435779283 FALSE ""
100 1 1 2 16 0.923311706503386 0.0766882934966144 0.458918661055588 FALSE ""
50 1 0.5 2 17 0.876250270433571 0.123749729566429 0.557572752794599 FALSE ""
100 1 0.25 5 18 1.00645512326417 0.0064551232641703 0.510078907694451 FALSE ""
50 1 0.25 2 19 0.964497431254879 0.0355025687451211 0.528206436562885 FALSE ""
250 0.5 0.5 3 20 0.457124873179583 0.0428751268204174 0.189510997448738 FALSE ""
250 0.5 0.5 1 21 0.451690562704766 0.0483094372952338 0.157656126881124 FALSE ""
250 0.5 1 1 22 0.421328527815495 0.0786714721845053 0.15080111718904 FALSE ""
100 1 0.25 1 23 0.983587804467001 0.0164121955329986 0.427416768983602 FALSE ""
50 1 0.5 3 24 1.09438418373422 0.0943841837342247 0.475052282791049 FALSE ""
250 0 1 3 25 -0.0693451327286216 0.0693451327286216 0.00459653143514666 FALSE ""
50 0 0.5 5 26 -0.114204892217771 0.114204892217771 0.0139610701508279 FALSE ""
100 0 0.25 4 27 -0.0294305015560985 0.0294305015560985 0.000904346149327705 FALSE ""
250 0.5 1 3 28 0.496760667673053 0.00323933232694695 0.222028306668429 FALSE ""
100 0.5 0.25 5 29 0.410512617492689 0.0894873825073114 0.109827194599074 FALSE ""
250 1 0.5 4 30 0.967593137619201 0.0324068623807995 0.466117555234051 FALSE ""
100 0 0.25 1 31 0.0765628857942668 0.0765628857942668 0.0040863287235662 FALSE ""
50 0 0.5 3 32 0.0432381804666693 0.0432381804666693 0.00168064743445179 FALSE ""
50 0 1 2 33 0.0634361809356876 0.0634361809356876 0.00362171232169445 FALSE ""
50 0.5 0.25 1 34 0.762899933210563 0.262899933210563 0.355156736651449 FALSE ""
50 0.5 0.5 5 35 0.651700145081336 0.151700145081336 0.308670834906188 FALSE ""
50 0.5 1 1 36 0.348866450220288 0.151133549779712 0.106223273159114 FALSE ""
100 0.5 0.25 4 37 0.528906998253844 0.0289069982538437 0.280099588379305 FALSE ""
100 0 1 4 38 0.131206067626909 0.131206067626909 0.0159491808795309 FALSE ""
250 0 0.25 5 39 0.0190460069038896 0.0190460069038896 0.000325072482275499 FALSE ""
250 1 1 1 40 0.911575481283871 0.0884245187161286 0.410148142254657 FALSE ""
50 0 0.5 1 41 -0.215107744411915 0.215107744411915 0.0428308847173462 FALSE ""
250 0 1 2 42 -0.041059341218352 0.041059341218352 0.00205362192730879 FALSE ""
250 0.5 0.5 4 43 0.484247106314266 0.0157528936857335 0.197200346816458 FALSE ""
50 1 0.25 5 44 0.809190294131567 0.190809705868433 0.388537345187418 FALSE ""
100 0.5 1 5 45 0.420210066819829 0.079789933180171 0.175130941005369 FALSE ""
250 1 1 2 46 1.06500446558091 0.0650044655809108 0.486606782840588 FALSE ""
250 0 0.5 2 47 -0.0811910068528455 0.0811910068528455 0.00644218541220186 FALSE ""
100 0 1 3 48 0.0200699444359299 0.0200699444359299 0.000673059433396019 FALSE ""
250 0 1 5 49 0.0739573915509251 0.0739573915509251 0.00652952382536193 FALSE ""
100 0.5 0.25 2 50 0.640663605864145 0.140663605864145 0.248492583797614 FALSE ""
100 1 1 4 51 1.13501300117107 0.135013001171069 0.631599120503951 FALSE ""
100 0 1 1 52 -0.000551436100013789 0.000551436100013789 2.95640533700768e-07 FALSE ""
